"CHR","BP","largest_theta","smallest_theta","absolute_theta","theta_range","largest_relative_theta","smallest_relative_theta","absolute_relative_theta","range_relative_theta","min_p","mean_p","log_mean_p","bigest_theta_p","pSNP4","pSNP5","bp_add","bp_cum","P"
"Cexcelsa_scaf_1",50116587,57.7156862745098,-7.86764705882353,57.7156862745098,65.5833333333333,1.14055991475346,-0.155478058703865,1.14055991475346,1.29603797345733,1.27698250651224e-79,0.161220357486714,27.1426518381578,1.27698250651224e-79,8.54640927337642e-23,2.22223987194021e-21,0,50116587,1.73263122133515e-09
"Cexcelsa_scaf_5",28858272,57.7115384615385,-8.79807692307692,57.7115384615385,66.5096153846154,1.13341516381834,-0.17278821641016,1.13341516381834,1.3062033802285,5.41789907331367e-88,0.225786390241789,20.9068798851406,5.41789907331367e-88,1.03900373196523e-14,4.09166452985743e-13,177238162,206096434,1.73275574808397e-09
"Cexcelsa_scaf_4",868130,57.7089947089947,-3.34920634920635,57.7089947089947,61.0582010582011,1.3093637454982,-0.0759903961584634,1.3093637454982,1.38535414165666,4.47832339389686e-87,0.137536446090046,27.3366038794034,4.47832339389686e-87,1.12295278270586e-21,9.21583894029121e-21,140387213,141255343,1.73283212615751e-09
"Cexcelsa_scaf_2",41701626,57.7087378640777,-0.0970873786407767,57.7087378640777,57.8058252427184,1.12437340395347,-0.0018916107065166,1.12437340395347,1.12626501465998,5.87172253113381e-82,0.012846174899738,29.5237037462971,5.87172253113381e-82,9.07120384172075e-26,9.29012159421991e-26,52314543,94016169,1.7328398384926e-09
"Cexcelsa_scaf_1",40313612,57.7064676616915,0,57.7064676616915,57.7064676616915,1.16106106106106,0,1.16106106106106,1.16106106106106,1.01224250354561e-85,0.00650143105678767,22.6427267628025,1.26128732095813e-85,4.96289390513429e-18,4.96289390513429e-18,0,40313612,1.73290800931115e-09
"Cexcelsa_scaf_1",10770473,57.6831683168317,-4.21782178217822,57.6831683168317,61.9009900990099,1.23015202702703,-0.0899493243243243,1.23015202702703,1.32010135135135,5.25333972341686e-91,0.175856748023596,30.6425888438804,5.25333972341686e-91,3.01932240751517e-25,5.99055732502115e-24,0,10770473,1.73360796429797e-09
"Cexcelsa_scaf_1",34194056,57.6596858638743,-3.60209424083769,57.6596858638743,61.261780104712,1.21315267680106,-0.0757876184181537,1.21315267680106,1.28894029521921,4.00677510133293e-94,0.133455353308,34.2911881766479,4.00677510133293e-94,9.32502109578337e-29,2.06739626057671e-27,0,34194056,1.73431399255425e-09
"Cexcelsa_scaf_3",6186348,57.6536312849162,-1.63687150837988,57.6536312849162,59.2905027932961,1.32307692307692,-0.0375641025641024,1.32307692307692,1.36064102564103,7.82684613367509e-81,0.075606380539529,21.5417424566572,7.82684613367509e-81,5.73466987448454e-16,7.17889747905535e-16,96916170,103102518,1.73449612403101e-09
"Cexcelsa_scaf_5",33177974,57.5989304812834,-0.267379679144383,57.5989304812834,57.8663101604278,1.49972152603732,-0.00696184906711218,1.49972152603732,1.50668337510443,3.98798443399562e-98,0.0216026866232705,41.7900651050686,3.98798443399562e-98,6.86714887720549e-36,7.51404140897334e-36,177238162,210416136,1.73614334787856e-09
"Cexcelsa_scaf_4",35657905,57.5561497326203,-2.48663101604278,57.5561497326203,60.0427807486631,1.29987922705314,-0.0561594202898551,1.29987922705314,1.356038647343,9.10853003321567e-97,0.129228296295147,32.2531158320991,9.10853003321567e-97,2.60380749841155e-25,1.3303522847229e-24,140387213,176045118,1.73743380098486e-09
"Cexcelsa_scaf_1",34177505,57.5,-3.57142857142857,57.5,61.0714285714286,1.17653199707694,-0.0730765215575738,1.17653199707694,1.24960851863451,3.52101391411043e-86,0.129257662192961,35.0039402920884,3.52101391411043e-86,1.76531176020053e-29,3.5498058567536e-28,0,34177505,1.73913043478261e-09
"Cexcelsa_scaf_4",868288,57.5,-3.296875,57.5,60.796875,1.29274004683841,-0.0741217798594848,1.29274004683841,1.36686182669789,1.2351499253639e-90,0.131299065281137,27.6173948671074,1.2351499253639e-90,6.34936569095367e-22,5.5373038133149e-21,140387213,141255501,1.73913043478261e-09
"Cexcelsa_scaf_1",34346297,57.3846153846154,-3.25274725274726,57.3846153846154,60.6373626373626,1.26180983448109,-0.0715234988522412,1.26180983448109,1.33333333333333,2.5283698512376e-99,0.170518916145862,32.738499629402,2.5283698512376e-99,1.36845424045762e-26,9.06525474314502e-25,0,34346297,1.7426273458445e-09
"Cexcelsa_scaf_5",33177918,57.3775510204082,-0.280612244897966,57.3775510204082,57.6581632653061,1.4344387755102,-0.00701530612244916,1.4344387755102,1.44145408163265,1.88282169664896e-92,0.0193408668883669,43.0009796784731,1.88282169664896e-92,1.17516867070481e-37,1.28848765292194e-37,177238162,210416080,1.74284189934199e-09
"Cexcelsa_scaf_6",273695,57.2552083333333,-1.75520833333333,57.2552083333333,59.0104166666667,1.19294628323386,-0.0365708084644601,1.19294628323386,1.22951709169832,1.47562840970154e-89,0.0881557837345097,32.6933814091836,1.47562840970154e-89,3.6186331196757e-26,9.99071384390779e-26,211107951,211381646,1.74656599654325e-09
"Cexcelsa_scaf_3",2948243,57.2535211267606,0,57.2535211267606,57.2535211267606,1.15811965811966,0,1.15811965811966,1.15811965811966,2.86912726363869e-101,0.00545260946324203,33.2017349673589,2.86912726363869e-101,2.53637387807115e-29,2.53637387807115e-29,96916170,99864413,1.74661746617466e-09
"Cexcelsa_scaf_4",10836420,57.1910112359551,-5.06741573033708,57.1910112359551,62.2584269662921,1.33385744234801,-0.118186582809224,1.33385744234801,1.45204402515723,2.09202573510266e-88,0.177449312073178,33.5350260678111,2.09202573510266e-88,5.98144211508631e-27,1.22385865249096e-25,140387213,151223633,1.74852652259332e-09
"Cexcelsa_scaf_2",35051728,57.1648351648352,0,57.1648351648352,57.1648351648352,1.28254437869822,0,1.28254437869822,1.28254437869822,4.42734796987263e-101,0.00566791773555815,42.7582030259761,4.42734796987263e-101,2.61661874331591e-39,2.61661874331591e-39,52314543,87366271,1.74932718185313e-09
"Cexcelsa_scaf_2",35051713,57.1459459459459,0,57.1459459459459,57.1459459459459,1.28707085463842,0,1.28707085463842,1.28707085463842,1.74811607141314e-97,0.00594316085174377,40.3691484219491,1.74811607141314e-97,2.14360328375958e-36,2.14360328375958e-36,52314543,87366256,1.74990541051835e-09
"Cexcelsa_scaf_1",34217632,57.1351351351351,-3.45945945945946,57.1351351351351,60.5945945945946,1.23625730994152,-0.0748538011695906,1.23625730994152,1.31111111111111,3.87847950859303e-95,0.189840415529363,33.0057572627023,3.87847950859303e-95,4.01817105193486e-27,4.61512373751822e-25,0,34217632,1.75023651844844e-09
"Cexcelsa_scaf_2",37418960,57.1283422459893,0,57.1283422459893,57.1283422459893,1.29711024769305,0,1.29711024769305,1.29711024769305,2.84986582391377e-85,0.00563370415233854,38.8794470747573,2.84986582391377e-85,1.52898109364727e-35,1.52898109364727e-35,52314543,89733503,1.75044463165777e-09
"Cexcelsa_scaf_4",25718104,57.0691244239631,-2.48387096774194,57.0691244239631,59.5529953917051,1.05467552376086,-0.0459035939362971,1.05467552376086,1.10057911769716,9.10639032002833e-78,0.175848973726575,21.4157056087781,9.10639032002833e-78,3.16473290236708e-15,7.63835273909377e-15,140387213,166105317,1.75226098191214e-09
"Cexcelsa_scaf_5",33177792,57.037037037037,-0.275132275132279,57.037037037037,57.3121693121693,1.44736842105263,-0.00698174006444693,1.44736842105263,1.45435016111708,1.48288654490055e-90,0.0211585316846033,40.6178885679574,1.48288654490055e-90,4.75451740759264e-35,5.19277024094068e-35,177238162,210415954,1.75324675324675e-09
"Cexcelsa_scaf_4",35476164,56.995145631068,-5.49514563106796,56.995145631068,62.4902912621359,1.1596049382716,-0.111802469135803,1.1596049382716,1.27140740740741,1.97821295260599e-85,0.149546693892336,24.4426987151118,1.97821295260599e-85,2.97823034497682e-18,2.43363757375799e-17,140387213,175863377,1.75453538880845e-09
"Cexcelsa_scaf_1",15100107,56.9587628865979,0,56.9587628865979,56.9587628865979,1.23809523809524,0,1.23809523809524,1.23809523809524,5.85079456796572e-90,0.0204321699912402,34.3740910940185,5.85079456796572e-90,7.32396627700843e-30,7.32396627700843e-30,0,15100107,1.75565610859729e-09
"Cexcelsa_scaf_5",29680814,56.9435897435897,-3.5527136788005e-15,56.9435897435897,56.9435897435897,1.29477611940298,-8.07811529111588e-17,1.29477611940298,1.29477611940298,7.16489120720331e-86,0.0105514081293308,27.6550166462022,7.16489120720331e-86,3.41722990215504e-23,3.41722990215504e-23,177238162,206918976,1.75612391930836e-09
